原文: 第四章  爆裂  positive_prob: 0.526412  confidence: 0.471761  negative_prob: 0.473588  sentiment: 1.000000  
 原文:     “我不去了，你自己去吧。”  positive_prob: 0.137466  confidence: 0.694521  negative_prob: 0.862534  sentiment: 0.000000  
 原文:     女子穿着海滨凉鞋朝大海的方向走去。  positive_prob: 0.458062  confidence: 0.161250  negative_prob: 0.541938  sentiment: 1.000000  
 原文:     “他”取下望远镜，目测了女子的位置。9月份的海边，周日里挤满了游人。今年流行天蓝色泳装，为了找到她，“他”没少费工夫。  positive_prob: 0.628627  confidence: 0.174727  negative_prob: 0.371373  sentiment: 2.000000  
 原文:     女子把凉鞋脱掉。浪打过来了，她赤脚抱着充气垫进入海里。  positive_prob: 0.489827  confidence: 0.796534  negative_prob: 0.510173  sentiment: 1.000000  
 原文:     “他”打开夹在腋下冷气箱的盖子，里面放着用塑料袋包好以防进水的“那个东西”，他把它拿出来轻轻地挂在腰上。  positive_prob: 0.061933  confidence: 0.862371  negative_prob: 0.938067  sentiment: 0.000000  
 原文:     那女人名叫梅里津子，很喜欢海，但并不擅长游泳。她只是抓住充气垫在波浪里摇晃，全身心地感受着来着大自然的恩惠。在海里，时间的流逝是那么悠闲和缓慢。  positive_prob: 0.958000  confidence: 0.906666  negative_prob: 0.042000  sentiment: 2.000000  
 原文:     结婚之前，她丈夫梅里尚彦经常带她到海边玩，那时尚彦住在藤呎，他们在横滨约会的次数很多。只要津子说“我想游泳”，尚彦就立即更改所有的预订计划，用自己的PAJERO（三菱车的型号）载她到海滨浴场。车里常放着两个人的泳衣。  positive_prob: 0.981833  confidence: 0.959629  negative_prob: 0.018167  sentiment: 2.000000  
 原文:     津子觉得二人世界的自由生活越来越短了。结婚一年多，到现在还没要孩子，她正在认真考虑这个问题。双方父母在这个问题上都很重视，认为两人年纪不小了，尤其是津子，今年已经29岁了。  positive_prob: 0.458831  confidence: 0.176629  negative_prob: 0.541169  sentiment: 1.000000  
 原文:     虽然想玩冲浪（身体趴在板子上的那种运动）、潜水，但一想到孩子的事，她就暂时放弃了这些念头。为了要孩子，牺牲一两个爱好是必须的。  positive_prob: 0.499293  confidence: 0.985869  negative_prob: 0.500707  sentiment: 1.000000  
 原文:     今天的天气真好啊！津子只把上半身趴在充气垫上，闭上了眼睛，仿佛睡在巨大的水床上。被水漫湿而觉得有点冷的身休也逐渐暖和起来了。  positive_prob: 0.975461  confidence: 0.945468  negative_prob: 0.024539  sentiment: 2.000000  
 原文:     突然，她感觉有什么东西撞了一下垫子的下面。她睁开眼睛，发现有谁潜在自己的正下方。  positive_prob: 0.418539  confidence: 0.069913  negative_prob: 0.581461  sentiment: 0.000000  
 原文:     水面溅起小小的水花，一个男人的脸露出来，留着短发，很年轻，戴着潜望镜。  positive_prob: 0.856287  confidence: 0.680639  negative_prob: 0.143713  sentiment: 2.000000  
 原文:     “不好意思。”  positive_prob: 0.548775  confidence: 0.024495  negative_prob: 0.451225  sentiment: 1.000000  
 原文:     那男子简短地道歉后，潜回水中游走了。  positive_prob: 0.349572  confidence: 0.223173  negative_prob: 0.650428  sentiment: 0.000000  
 原文:     津子一瞬间回想起刚才在脑海里闪现的念头，苦笑起来。年轻男子出现的时候。她还在想自己是不是被流氓骚扰了呢。大概在几年前，这种事情不是没有过，可是过了25岁以后几乎就没有年轻男子和她搭讪了。  positive_prob: 0.021979  confidence: 0.951159  negative_prob: 0.978021  sentiment: 0.000000  
 原文:     她对自己说，现在已经到了老老实实过日子的年纪了，该要个孩子了……  positive_prob: 0.335879  confidence: 0.253603  negative_prob: 0.664121  sentiment: 0.000000  
 原文:     津子回过神，发现周围的人很少。她摆动脚，改变着方向。  positive_prob: 0.368410  confidence: 0.181311  negative_prob: 0.631590  sentiment: 0.000000  
 原文:     正在这时，有什么东西袭击了她。  positive_prob: 0.449435  confidence: 0.001255  negative_prob: 0.550565  sentiment: 0.000000  
 原文:     梅里尚彦目击了这一瞬间。  positive_prob: 0.512086  confidence: 0.758288  negative_prob: 0.487914  sentiment: 1.000000  
 原文:     当时他正坐起米，眺望着还在海上漂浮的妻子。她依然抱着粉色充气垫子，在波浪之间摇摇晃晃。  positive_prob: 0.751374  confidence: 0.447499  negative_prob: 0.248626  sentiment: 2.000000  
 原文:     他正叼着一支香烟，用ZIPPO打火机点着，拿刚刚喝过的空可乐罐当烟灰缸。  positive_prob: 0.491448  confidence: 0.828968  negative_prob: 0.508552  sentiment: 1.000000  
 原文:     他发现一个男人靠近了津子，但随即转身，在海水中消失了。  positive_prob: 0.263640  confidence: 0.414134  negative_prob: 0.736360  sentiment: 0.000000  
 原文:     接着，梅里尚彦发现津子在惊慌地转换方向。她似乎发现自己已经飘到远海上了，他想：“这老婆可真够傻的”。  positive_prob: 0.071595  confidence: 0.840899  negative_prob: 0.928405  sentiment: 0.000000  
 原文:     接着，就在尚彦吸烟吐气的一瞬间。  positive_prob: 0.499872  confidence: 0.997449  negative_prob: 0.500128  sentiment: 1.000000  
 原文:     远处传来了“轰隆”的声音，妻子的身影变成了火柱。那黄色的火柱仿佛是从海里爆发出来似的，冲击力使周围的水在瞬间变白。接着，小火柱像绽开一样，从水中飞溅出来！  positive_prob: 0.363556  confidence: 0.192098  negative_prob: 0.636444  sentiment: 0.000000  
 原文:     爆炸使整个海滨浴场在瞬间静止下来。浴客们不知道发生了什么，只是呆呆地眺望着火柱。  positive_prob: 0.327753  confidence: 0.271659  negative_prob: 0.672247  sentiment: 0.000000  
 原文:     紧接着浴场里一片慌乱，人们从海里争抢着上岸，惊叫着，哭嚎着……那个场面让梅里尚彦想起史蒂芬·斯皮尔伯格的电影《大白鲨》。在那个电影里，人们逃离鲨鱼；现在，人们在逃离“火柱”。  positive_prob: 0.282730  confidence: 0.371712  negative_prob: 0.717270  sentiment: 0.000000  
 原文:     他是下意识地想到那个电影的。他已经完全震惊了，失去了思考能力，呆呆地坐在充气垫上，手里一直夹着香烟，呆呆地看着刚才妻子漂浮过的海面。  positive_prob: 0.249008  confidence: 0.446650  negative_prob: 0.750992  sentiment: 0.000000  
 原文:     那片海面的爆炸已经平息了，只剩下白色的小细泡，在一层一层地画着同心圆。  positive_prob: 0.400114  confidence: 0.110858  negative_prob: 0.599886  sentiment: 0.000000  
 原文:     周围的人在大声叫喊着什么，尚彦什么都听不到。  positive_prob: 0.804532  confidence: 0.565627  negative_prob: 0.195468  sentiment: 2.000000  
 原文:     他终于恢复了意识，站起来，踉跄着朝海走去。他不知道到底发生了什么，但他知道，整个浴场，只有他妻子没有从海中回来。  positive_prob: 0.578962  confidence: 0.064360  negative_prob: 0.421038  sentiment: 2.000000  
 原文:     “津子……在哪里呢？”  positive_prob: 0.329146  confidence: 0.268564  negative_prob: 0.670854  sentiment: 0.000000  
 原文:     终于，尚彦的目光锁定了海面上漂浮着的那个粉色的东西。  positive_prob: 0.737183  confidence: 0.415961  negative_prob: 0.262817  sentiment: 2.000000  
 原文:     他在瞬间想起，那是津子的充气垫。  positive_prob: 0.436437  confidence: 0.030139  negative_prob: 0.563563  sentiment: 0.000000  
 原文:     2  positive_prob: 0.511027  confidence: 0.779453  negative_prob: 0.488973  sentiment: 1.000000  
 原文:     加藤敏夫接到坂上高台住户打来的电话，知道又有麻烦事了。这栋公寓盖了十年了，他是房主。由于公寓的结构不好，对个人隐私保护得差，所以房客们经常闹纠纷。当然，单身房客多也是其中的一个原因。  positive_prob: 0.301207  confidence: 0.330651  negative_prob: 0.698793  sentiment: 0.000000  
 原文:     果然不出加藤所料，电话是住在一楼的主妇打来的。她抱怨上面的阳台动不动就往下滴水，好不容易洗出来的床单又弄脏了。  positive_prob: 0.135625  confidence: 0.698611  negative_prob: 0.864375  sentiment: 0.000000  
 原文:     “嗯，上面住的是藤川先生吧，他不在吗？”  positive_prob: 0.217140  confidence: 0.517467  negative_prob: 0.782860  sentiment: 0.000000  
 原文:     “正因为他不在我才打电话的，你赶紧给我想点办法！”主妇气急败坏地叫嚷着。  positive_prob: 0.309385  confidence: 0.312478  negative_prob: 0.690615  sentiment: 0.000000  
 原文:     “好，好，嗯，我马上去。”  positive_prob: 0.872994  confidence: 0.717765  negative_prob: 0.127006  sentiment: 2.000000  
 原文:     放下电话，加藤愁眉苦脸地找着坂上高台的钥匙。这次惹事的藤川雄一是个单身汉，他们只在签租赁合同的时候见过面，印象中是个沉默稳重的青年。  positive_prob: 0.652391  confidence: 0.227536  negative_prob: 0.347609  sentiment: 2.000000  
 原文:     加藤驾着他的轻便两用货车出发了。  positive_prob: 0.717835  confidence: 0.372968  negative_prob: 0.282165  sentiment: 2.000000  
 原文:     “从三鹰车站徒步走7分钟”、“美宅”，这是坂上高台的宣传语。虽然徒步走7分钟并不是骗人，但人们一看到“美宅”的墙壁，就觉得“美宅’这个形容词有点可笑。因为离大路近，“美宅”已经被废气熏黑了。  positive_prob: 0.022817  confidence: 0.949295  negative_prob: 0.977183  sentiment: 0.000000  
 原文:     加藤在阳台周围转了转后，找到了问题，他知道了原因。是楼上那个叫藤川雄一的房间里的空调软管因为中途脱落在滴水。  positive_prob: 0.574099  confidence: 0.053553  negative_prob: 0.425901  sentiment: 2.000000  
 原文:     楼下的主妇说，藤川好像不在家，可空调还开着。是忘了关呢，还是因为热故意不关，自己跑到公司上班去了？到底是哪一个原因呢？加藤想，甭管哪个原因，不管是不行了，他拿出备用钥匙上了楼。  positive_prob: 0.014077  confidence: 0.968717  negative_prob: 0.985923  sentiment: 0.000000  
 原文:     藤川的房间是203室，门外的书信投递箱已经塞了两三天的报纸了。他是出差或旅行去了吧？  positive_prob: 0.267530  confidence: 0.405489  negative_prob: 0.732470  sentiment: 0.000000  
 原文:     “藤川一定是忘了关空调了。”加藤开始这么认为。但在用备用钥匙打开锁的瞬间，他有种不祥的预感。  positive_prob: 0.323972  confidence: 0.280062  negative_prob: 0.676028  sentiment: 0.000000  
 原文:     房子是一居室，玄关走进去往左走就是水槽，里面是五个榻榻米大的卧室。厨房的拉门关着，看不到里面。  positive_prob: 0.365054  confidence: 0.188768  negative_prob: 0.634946  sentiment: 0.000000  
 原文:     加藤脱鞋进入室内。在打开卧室拉门的瞬间，一股难以形容的臭气扑了出来。  positive_prob: 0.340158  confidence: 0.244093  negative_prob: 0.659842  sentiment: 0.000000  
 原文:     加藤想：“莫非是……”  positive_prob: 0.285326  confidence: 0.365943  negative_prob: 0.714674  sentiment: 0.000000  
 原文:     拉开门后，他看见屋子正中间，有个人趴在那里，穿着短裤和T恤。白T恤上画着黑色地图一样的东西，定睛一看，是打破的头留下的血渍。  positive_prob: 0.634861  confidence: 0.188579  negative_prob: 0.365140  sentiment: 2.000000  
 原文:     加藤惊得后退一步，一屁股坐在地上。  positive_prob: 0.321064  confidence: 0.286524  negative_prob: 0.678936  sentiment: 0.000000  
 原文:     3  positive_prob: 0.487468  confidence: 0.749365  negative_prob: 0.512532  sentiment: 1.000000  
 原文:     草薙站在门前，盯着贴在门上的行程表。他发现汤川在教室、实验室、外出、休息、休闭这几项都是空白的。在门下有一块落下的青色磁铁，草薙抬起来，敲了敲门。  positive_prob: 0.091075  confidence: 0.797611  negative_prob: 0.908925  sentiment: 0.000000  
 原文:     开门的是一个把头发染成茶色的年轻人。34岁的草薙想，最近理科的学生也都很时髦啊。  positive_prob: 0.746313  confidence: 0.436251  negative_prob: 0.253687  sentiment: 2.000000  
 原文:     “汤川在吗？”他问。  positive_prob: 0.246169  confidence: 0.452958  negative_prob: 0.753831  sentiment: 0.000000  
 原文:     学生一脸意外：“啊？”  positive_prob: 0.356344  confidence: 0.208124  negative_prob: 0.643656  sentiment: 0.000000  
 原文:     “如果他现在很忙，我就改天再来吧。”  positive_prob: 0.513881  confidence: 0.722372  negative_prob: 0.486119  sentiment: 1.000000  
 原文:     “不用，不是很忙。”茶色头发的年轻人打开门，引草薙进去。  positive_prob: 0.476399  confidence: 0.527978  negative_prob: 0.523601  sentiment: 1.000000  
 原文:     草薙一进去，就听到了汤川带鼻音的声音。  positive_prob: 0.289480  confidence: 0.356712  negative_prob: 0.710520  sentiment: 0.000000  
 原文:     “如果气缸沉了的话，就必须考虑它为什么会破裂，里面有什么，如果是因为某个部分破损而导致腐蚀的话。为什么前面没有漏气呢？气体燃烧的原因是什么？”  positive_prob: 0.029316  confidence: 0.934853  negative_prob: 0.970684  sentiment: 0.000000  
 原文:     汤川坐在椅子上，正在和三个学生谈话。草薙想，如果是关于研究课题的，还是不要打扰的好。但汤川已经看见他了。  positive_prob: 0.326567  confidence: 0.274296  negative_prob: 0.673433  sentiment: 0.000000  
 原文:     “哎，客人来得正巧。”  positive_prob: 0.177894  confidence: 0.604680  negative_prob: 0.822106  sentiment: 0.000000  
 原文:     “打扰你们了吧？”  positive_prob: 0.268171  confidence: 0.404064  negative_prob: 0.731829  sentiment: 0.000000  
 原文:     “没事，学习已经结束，正随便聊呢。我正想听听你的意见呢。”  positive_prob: 0.907202  confidence: 0.793783  negative_prob: 0.092798  sentiment: 2.000000  
 原文:     “这是什么话？我可是个理科白痴，别让我出丑了。”  positive_prob: 0.186026  confidence: 0.586609  negative_prob: 0.813974  sentiment: 0.000000  
 原文:     “能不能出丑现在还不知道。是这件事——”汤川把放在书桌上的报纸递给草薙.这是一周前的报纸，社会版朝上折叠着。  positive_prob: 0.083102  confidence: 0.815329  negative_prob: 0.916898  sentiment: 0.000000  
 原文:     “是湘南海岸的爆炸事件吗？”草薙问。  positive_prob: 0.237027  confidence: 0.473273  negative_prob: 0.762973  sentiment: 0.000000  
 原文:     “我想揭开这个事件的谜底，正在让学生们挑战这个智力游戏呢？”  positive_prob: 0.247651  confidence: 0.449663  negative_prob: 0.752349  sentiment: 0.000000  
 原文:     包括刚才帮草薙开门的年轻人在内的四个学生，多少有点不愉快地按照汤川的话做着。  positive_prob: 0.231608  confidence: 0.485316  negative_prob: 0.768392  sentiment: 0.000000  
 原文:     “关于这件事，警事厅也在收集情报。可能是哪个恐怖组织故意在找茬吧。”  positive_prob: 0.297333  confidence: 0.339259  negative_prob: 0.702667  sentiment: 0.000000  
 原文:     “你说可能是恐怖炸弹？”  positive_prob: 0.095036  confidence: 0.788809  negative_prob: 0.904964  sentiment: 0.000000  
 原文:     “也不能排除这种可能性。那种炸弹只要准备好了万事就0K了。”  positive_prob: 0.410304  confidence: 0.088212  negative_prob: 0.589696  sentiment: 0.000000  
 原文:     “神奈川警方是怎么看待这件事的？”  positive_prob: 0.183457  confidence: 0.592319  negative_prob: 0.816544  sentiment: 0.000000  
 原文:     “哎，东京和神奈川的警方是夙敌啊。”草薙苦笑着说。警察同事之间的关系很复杂。  positive_prob: 0.171513  confidence: 0.618860  negative_prob: 0.828487  sentiment: 0.000000  
 原文:     “据我所知，现场的爆炸物没有留下一点痕迹。”  positive_prob: 0.309663  confidence: 0.311861  negative_prob: 0.690337  sentiment: 0.000000  
 原文:     “会不会被海水冲走了呢？”一个学生问。  positive_prob: 0.258286  confidence: 0.426031  negative_prob: 0.741714  sentiment: 0.000000  
 原文:     “有可能。”草薙没有反驳这个年轻人的意见，但在心里想，如果有某种炸弹的话，神祭川的警方不可能没发现痕迹。  positive_prob: 0.095762  confidence: 0.787196  negative_prob: 0.904238  sentiment: 0.000000  
 原文:     “警方以为是犯罪吗？”汤川问。  positive_prob: 0.155563  confidence: 0.654303  negative_prob: 0.844437  sentiment: 0.000000  
 原文:     “我们认为有犯罪婕疑才进行搜查的，毕竟这种事不可能无缘无故地发生。”  positive_prob: 0.205620  confidence: 0.543067  negative_prob: 0.794380  sentiment: 0.000000  
 原文:     “还没有得出结论啊？”  positive_prob: 0.206389  confidence: 0.541357  negative_prob: 0.793611  sentiment: 0.000000  
 原文:     这时下课铃响了，学生们走了，汤川留了下来。  positive_prob: 0.188957  confidence: 0.580096  negative_prob: 0.811043  sentiment: 0.000000  
 原文:     “下课铃把他们救了。”草薙挑了一个学生坐过的椅子坐下。  positive_prob: 0.344880  confidence: 0.233601  negative_prob: 0.655120  sentiment: 0.000000  
 原文:     “把算式排列起来再解决问题，那不是科学。越是这种时候越要把智慧集中起来揭开谜底。”汤川站了起来，挽起了白大褂的袖子，“对了，我们来点速溶咖啡怎么样？”  positive_prob: 0.163864  confidence: 0.635859  negative_prob: 0.836136  sentiment: 0.000000  
 原文:     “我就免了吧，一会儿还有个非去不可的地方。”  positive_prob: 0.289749  confidence: 0.356113  negative_prob: 0.710251  sentiment: 0.000000  
 原文:     “啊，这样啊，离这儿近吗？”  positive_prob: 0.267678  confidence: 0.405160  negative_prob: 0.732322  sentiment: 0.000000  
 原文:     “近，就在这栋建筑物里面。”  positive_prob: 0.413498  confidence: 0.081116  negative_prob: 0.586502  sentiment: 0.000000  
 原文:     “噢？”汤川的眼睛瞪得很大，“怎么回事？”  positive_prob: 0.253831  confidence: 0.435930  negative_prob: 0.746169  sentiment: 0.000000  
 原文:     “难道你没看今早的新闻吗？这里怎么都是一周前的老新闻啊？”草薙从桌面上寻找着，资料、图纸凌乱地堆在一起，似乎没有今天的报纸。  positive_prob: 0.014542  confidence: 0.967685  negative_prob: 0.985458  sentiment: 0.000000  
 原文:     “如果有能给我当教材的事，你就说说。”  positive_prob: 0.297818  confidence: 0.338181  negative_prob: 0.702182  sentiment: 0.000000  
 原文:     “三鹰附近的公寓里发现了一具他杀的死尸，”草薙打开记事本，“男性25岁，叫藤川雄一，前公司职员。发现这具尸体的是管理这栋公寓不动产的房主。发现时藤川已经死亡三天了。”  positive_prob: 0.064960  confidence: 0.855644  negative_prob: 0.935040  sentiment: 0.000000  
 原文:     “那件事我在昨天新闻上看到了。据说由于天热，尸体很早就开始腐烂。那个发现死尸的人可真够倒霉的。”  positive_prob: 0.098499  confidence: 0.781113  negative_prob: 0.901501  sentiment: 0.000000  
 原文:     “死亡现场的空调一直都开着，太慨犯人想减少腐败后的臭味泄漏吧。但是最近的‘秋老虎’这么厉害，超出了犯人的想象。”  positive_prob: 0.263087  confidence: 0.415362  negative_prob: 0.736913  sentiment: 0.000000  
 原文:     “太热了。”汤川说，“热得人脑袋发昏，什么都想不起来了。”  positive_prob: 0.351412  confidence: 0.219084  negative_prob: 0.648588  sentiment: 0.000000  
 原文:     草薙想，如果你怕热，把你那白大褂脱掉不就完了嘛。但他只是这么想，什么也没说。  positive_prob: 0.162039  confidence: 0.639914  negative_prob: 0.837961  sentiment: 0.000000  
 原文:     “受害人藤川雄一这个名字，你不觉得耳熟吗？”草薙问汤川。  positive_prob: 0.212204  confidence: 0.528436  negative_prob: 0.787796  sentiment: 0.000000  
 原文:     汤川一脸茫然。  positive_prob: 0.359209  confidence: 0.201758  negative_prob: 0.640791  sentiment: 0.000000  
 原文:     “为什么我会耳熟呢？他是名人吗？”  positive_prob: 0.200719  confidence: 0.553959  negative_prob: 0.799281  sentiment: 0.000000  
 原文:     “不是，完全没名气，但我觉得你有可能认识他。”  positive_prob: 0.071682  confidence: 0.840707  negative_prob: 0.928318  sentiment: 0.000000  
 原文:     “为什么？”  positive_prob: 0.254380  confidence: 0.434711  negative_prob: 0.745620  sentiment: 0.000000  
 原文:     “他两年前毕业于帝都大学理工系。”  positive_prob: 0.594758  confidence: 0.099462  negative_prob: 0.405242  sentiment: 2.000000  
 原文:     “哦，是吗？新闻倒没说得那么详细。他在哪个学院？”  positive_prob: 0.211960  confidence: 0.528979  negative_prob: 0.788040  sentiment: 0.000000  
 原文:     “能源学院……”草薙看着记事本，回答道。  positive_prob: 0.205770  confidence: 0.542732  negative_prob: 0.794229  sentiment: 0.000000  
 原文:     “研究能源的啊，那有可能上过我的课。但是不好意思我没什么印象。他的成绩应试不是出类拨草的吧。”  positive_prob: 0.250573  confidence: 0.443171  negative_prob: 0.749427  sentiment: 0.000000  
 原文:     “他既不出众，也不善交际。到目前为止见过他的人对他都有这个印象。”  positive_prob: 0.515090  confidence: 0.698197  negative_prob: 0.484910  sentiment: 1.000000  
 原文:     “原来如此。那你特意来被害人的母校，应该是有你的理由吧？”汤川这么说着，扶了下眼镜。这是他对事情表示关心时的习惯性动作。  positive_prob: 0.713160  confidence: 0.362579  negative_prob: 0.286840  sentiment: 2.000000  
 原文:     “可能也不是什么大的理由。”草薙从上衣兜里拿出了一张照片，给汤川看，“这是在藤川的屋子里找到的。”  positive_prob: 0.074423  confidence: 0.834616  negative_prob: 0.925577  sentiment: 0.000000  
 原文:     “嗯。”汤川看着照片，皱起了眉，“这不是我们学校大楼旁边的停车场吗？”  positive_prob: 0.154675  confidence: 0.656277  negative_prob: 0.845325  sentiment: 0.000000  
 原文:     “自从和你打交道后，来你这里的机会多了，所以一看这张照片，就知道是这里的停车场。关于这一点，其他搜查员很感激我，因为要调查照片上拍的是什么地方，挺不容易的。””从照片的日期来看，照相那天应该是8月30日吧，差不多两周前。”  positive_prob: 0.833733  confidence: 0.630517  negative_prob: 0.166267  sentiment: 2.000000  
 原文:     “我想知道，藤川那天到这所大学干什么来了。”  positive_prob: 0.419155  confidence: 0.068545  negative_prob: 0.580845  sentiment: 0.000000  
 原文:     “他会不会是加入了什么小组，作为特邀嘉宾什么的来参加活动呢？”  positive_prob: 0.357129  confidence: 0.206381  negative_prob: 0.642871  sentiment: 0.000000  
 原文:     草薙和汤川在学生时代，曾经是羽毛球队的队员。  positive_prob: 0.437421  confidence: 0.027953  negative_prob: 0.562579  sentiment: 0.000000  
 原文:     “我和藤川的同学联系过，他没有参加任何社团。”  positive_prob: 0.422176  confidence: 0.061831  negative_prob: 0.577824  sentiment: 0.000000  
 原文:     “如果他不是参加社团活动的话，”汤川抱起胳膊，“他会不会是参加公司招聘会什么的呢？”  positive_prob: 0.187736  confidence: 0.582809  negative_prob: 0.812264  sentiment: 0.000000  
 原文:     “绝对不是。”草薙断言。  positive_prob: 0.127624  confidence: 0.716392  negative_prob: 0.872376  sentiment: 0.000000  
 原文:     “为什么？”  positive_prob: 0.254380  confidence: 0.434711  negative_prob: 0.745620  sentiment: 0.000000  
 原文:     “刚才我说过，他原来是公司职员，但在今年7月份辞职了。”  positive_prob: 0.313944  confidence: 0.302346  negative_prob: 0.686056  sentiment: 0.000000  
 原文:     “这么说他现在失业了。那他是不是为了重新找工作而到这里来呢？”汤川左思右想，把照片还给了草薙，“可是，他拍停车场做什么？””这正是我想知道的。”草薙看着照片。在能停二十辆车左右的室外停车场里，停着几辆车，照片上看不出有什么特别之处。  positive_prob: 0.368538  confidence: 0.181028  negative_prob: 0.631462  sentiment: 0.000000  
 原文:     草薙说，藤川上学的时候，隶属能源工学院第五研究室。汤川说，要是那样的话，那里有个叫松田的助手应该很熟悉他。  positive_prob: 0.635434  confidence: 0.189853  negative_prob: 0.364566  sentiment: 2.000000  
 原文:     “松田原本是学物理出身的，和我一届。”汤川走在第五研究室的走廊上说道。  positive_prob: 0.381432  confidence: 0.152374  negative_prob: 0.618568  sentiment: 0.000000  
 原文:     草薙问：“这里研究什么？”  positive_prob: 0.242391  confidence: 0.461353  negative_prob: 0.757609  sentiment: 0.000000  
 原文:     “第五研究室以热交换系统为主要研究课题。松田的专业是热学。”  positive_prob: 0.558473  confidence: 0.018829  negative_prob: 0.441527  sentiment: 2.000000  
 原文:     “热学？”  positive_prob: 0.353717  confidence: 0.213962  negative_prob: 0.646283  sentiment: 0.000000  
 原文:     “简单地说，就是研究热和物体热性质。从宏观来研究，是热力学，要从原子、分子等微观角度来看，就是统计学。嗯，不过也没有必要把双方割裂开来考虑。”  positive_prob: 0.637869  confidence: 0.195264  negative_prob: 0.362131  sentiment: 2.000000  
 原文:     “噢。”  positive_prob: 0.571232  confidence: 0.047183  negative_prob: 0.428768  sentiment: 2.000000  
 原文:     草薙心想，我要是不问就好了。  positive_prob: 0.162883  confidence: 0.638037  negative_prob: 0.837117  sentiment: 0.000000  
 原文:     到了第五研究室门前。  positive_prob: 0.448265  confidence: 0.003856  negative_prob: 0.551735  sentiment: 0.000000  
 原文:     “你先在这儿等我一会儿。”汤川说着，没敲门就直接开门进去了。  positive_prob: 0.389095  confidence: 0.135344  negative_prob: 0.610905  sentiment: 0.000000  
 原文:     过了大约一分钟，门再次开了。他露出脸说，“谈好了，他可以接受访问。”  positive_prob: 0.474391  confidence: 0.487830  negative_prob: 0.525609  sentiment: 1.000000  
 原文:     “真是多谢了。”草薙走了进去。  positive_prob: 0.261905  confidence: 0.417989  negative_prob: 0.738095  sentiment: 0.000000  
 原文:     里面的屋子兼作实验室，摆着一些草薙完全不懂的测量装置。  positive_prob: 0.270759  confidence: 0.398314  negative_prob: 0.729241  sentiment: 0.000000  
 原文:     一个很瘦的男子站在窗边的书桌前，穿着半袖T恤，纽扣一直开到胸部。这个屋很热。  positive_prob: 0.857113  confidence: 0.682473  negative_prob: 0.142887  sentiment: 2.000000  
 原文:     汤川给两人作了介绍。那个瘦男子叫松田武久。草薙和汤川坐在屋里的折叠椅上。  positive_prob: 0.546677  confidence: 0.066462  negative_prob: 0.453323  sentiment: 1.000000  
 原文:     “没想到汤川居然还有刑警朋友啊。”看了草薙的名片，松口说。他这话不带任何褒贬的意思。他看到草薙拿出手帕擦汗，微笑了一下，“不好意思，很热吧？刚才正在做实验。”  positive_prob: 0.316567  confidence: 0.296517  negative_prob: 0.683433  sentiment: 0.000000  
 原文:     “没什么，没什么……”  positive_prob: 0.077199  confidence: 0.828448  negative_prob: 0.922801  sentiment: 0.000000  
