原文: 第一章  预知梦  positive_prob: 0.539501  confidence: 0.209972  negative_prob: 0.460499  sentiment: 1.000000  
 原文:     窗户打开几十厘米后，他脱掉鞋，钻进屋里。脚踩地毯的感觉通过袜子传递给他，仅仅如此就让他十分感动。终于来到礼美的房间了！  positive_prob: 0.123238  confidence: 0.726138  negative_prob: 0.876762  sentiment: 0.000000  
 原文:     他环视着房间，面积大概有十个榻榻米左右，书架、书桌、立式钢琴等物品在黑暗中隐约可见。  positive_prob: 0.842237  confidence: 0.649417  negative_prob: 0.157763  sentiment: 2.000000  
 原文:     接下来，他的目光被一张双人床吸引住了。那张床上，他梦寐以求的姑娘，正裹在柔软舒适的被子里香甜地睡着。  positive_prob: 0.769859  confidence: 0.488576  negative_prob: 0.230141  sentiment: 2.000000  
 原文:     不，”他想，“谁知她是不是真的睡着了呢？没准她已经察觉了我的到来，故意装出一副熟睡的样子。”  positive_prob: 0.045663  confidence: 0.898526  negative_prob: 0.954337  sentiment: 0.000000  
 原文:     他一步步向床边靠近。周围飘着阵阵花香，令他心神荡漾，一股奇妙的感觉在心中涌起，那是一种与高贵的存在相伴的感觉。  positive_prob: 0.411915  confidence: 0.084632  negative_prob: 0.588085  sentiment: 0.000000  
 原文:     礼美闭着眼睛，美丽至极。即便在黑暗之中，仍能清清楚楚感受到她的美丽，他感到了内心的震撼他伸出右手，想去触摸她的脸颊。他相信这样一来，所有的故事都将上演。她会睁开双眼，看着他莞尔一笑，对他说：“你终子来了！”  positive_prob: 0.960800  confidence: 0.912888  negative_prob: 0.039200  sentiment: 2.000000  
 原文:     就在他的指尖马上要碰到礼美的脸颊时，他觉察到了空气的沉动，他猛然回头，门开了，门口站着一个人。  positive_prob: 0.695176  confidence: 0.322614  negative_prob: 0.304823  sentiment: 2.000000  
 原文:     “离礼美远点！”一个声音严厉地说。  positive_prob: 0.680841  confidence: 0.290758  negative_prob: 0.319159  sentiment: 2.000000  
 原文:     那个人手里以乎拿着什么东西。一只泛着黑光的长枪筒闯入他的视线。  positive_prob: 0.198478  confidence: 0.558938  negative_prob: 0.801522  sentiment: 0.000000  
 原文:     他慌忙离开了床边。他清楚地看到，对方端着枪。  positive_prob: 0.431994  confidence: 0.040013  negative_prob: 0.568006  sentiment: 0.000000  
 原文:     他起身跃出阳台。朝库房跳下去，几乎同时，枪响了，他身后的窗玻璃碎了一地。  positive_prob: 0.394043  confidence: 0.124348  negative_prob: 0.605957  sentiment: 0.000000  
 原文:     淋着玻璃碎片，他在心中呐喊：礼美，这是为什么？！  positive_prob: 0.677157  confidence: 0.282572  negative_prob: 0.322843  sentiment: 2.000000  
 原文:     淋着玻璃碎片，他在心中呐喊：礼美，这是为什么？！  positive_prob: 0.677157  confidence: 0.282572  negative_prob: 0.322843  sentiment: 2.000000  
 原文:     2  positive_prob: 0.511027  confidence: 0.779453  negative_prob: 0.488973  sentiment: 1.000000  
 原文:     草薙俊介叼起一支烟，点燃。他正准备把烧亮的火柴梗丢进烟灰缸中，忽然停下手来。烟灰缸里还有一支没吸完的烟，大概只燃了1厘米。他想起来，这是1分钟前自己刚刚放进去的。  positive_prob: 0.064796  confidence: 0.856010  negative_prob: 0.935204  sentiment: 0.000000  
 原文:     坐在旁边的牧田偷偷笑着。  positive_prob: 0.622975  confidence: 0.162167  negative_prob: 0.377025  sentiment: 2.000000  
 原文:     “草薙，看来最近你够累的。”  positive_prob: 0.355287  confidence: 0.210474  negative_prob: 0.644713  sentiment: 0.000000  
 原文:     草薙搓灭了烟灰缸里的那支烟。  positive_prob: 0.161656  confidence: 0.640765  negative_prob: 0.838344  sentiment: 0.000000  
 原文:     “身体倒没那么累，只是，怎么说呢，提不起精神，总在想，我到底在做什么，有没有做点有意义的事。”  positive_prob: 0.248683  confidence: 0.447371  negative_prob: 0.751317  sentiment: 0.000000  
 原文:     “我也是啊，”牧田把咖啡杯倾斜着，“不过，反思也是工作的一部分。”  positive_prob: 0.360834  confidence: 0.198147  negative_prob: 0.639166  sentiment: 0.000000  
 原文:     “真有你的，类似于‘人总在成长’这种台词我可说不出来。”  positive_prob: 0.211297  confidence: 0.530451  negative_prob: 0.788703  sentiment: 0.000000  
 原文:     “是吗？”  positive_prob: 0.243616  confidence: 0.458630  negative_prob: 0.756384  sentiment: 0.000000  
 原文:     “来，我告诉你，”草薙把脸凑向牧田，“人能够成长，那是在刚成为刑警后不久。等这行干久了，人就逐渐变坏了。你看看咱们股长就知道了。”  positive_prob: 0.367351  confidence: 0.183665  negative_prob: 0.632649  sentiment: 0.000000  
 原文:     牧田忍不住噗哧笑了出来。  positive_prob: 0.750528  confidence: 0.445618  negative_prob: 0.249472  sentiment: 2.000000  
 原文:     “这么说，草薙你早就变坏了？”  positive_prob: 0.170820  confidence: 0.620400  negative_prob: 0.829180  sentiment: 0.000000  
 原文:     “嗯，变坏了，不早点给我调工作的话，我就不能重返社会了。”  positive_prob: 0.294616  confidence: 0.345297  negative_prob: 0.705384  sentiment: 0.000000  
 原文:     这时候，服务员从身边经过，草薙让她再加一杯水，服务员脸上流露出一丝惊讶的表情，可能是因为他根本没有喝咖啡，每次都只要求加水的缘故吧。  positive_prob: 0.043026  confidence: 0.904388  negative_prob: 0.956974  sentiment: 0.000000  
 原文:     只要杯里还有东西，在咖啡店里坐多久也不会被赶出来——这是他的老调子。不过由于马上要来一个人，他想，或许有必要再加一份咖啡了。  positive_prob: 0.330844  confidence: 0.264792  negative_prob: 0.669156  sentiment: 0.000000  
 原文:     “啊，是不是那个人？”牧田指着咖啡店门口问。  positive_prob: 0.175774  confidence: 0.609390  negative_prob: 0.824226  sentiment: 0.000000  
 原文:     一个穿着开领短袖衬衫和牛仔裤的男子走了进来，腋下夹着一个包。可能是因为留着三七分的发型的原因，只有27岁的他看起来却很稳重。  positive_prob: 0.710481  confidence: 0.356624  negative_prob: 0.289519  sentiment: 2.000000  
 原文:     男子的目光在店里巡视一周，定格在草薙他们身上，因为没有其他坐在一起的顾客比他俩更像刑警，其他的都是一家人、情侣或成群的高中生什么的。  positive_prob: 0.450332  confidence: 0.006649  negative_prob: 0.549668  sentiment: 1.000000  
 原文:     “您是中本先生吗？”草薙问走近的男子。  positive_prob: 0.311627  confidence: 0.307496  negative_prob: 0.688373  sentiment: 0.000000  
 原文:     “对。”男子点头。可能因为觉得对方是刑警，他看起来有些紧张。  positive_prob: 0.450895  confidence: 0.017907  negative_prob: 0.549105  sentiment: 1.000000  
 原文:     “我是给您打电话的草薙，这位是我的同事牧田。休息的日子还麻烦您跑一趟，真不好意思。”今天是周六。  positive_prob: 0.321399  confidence: 0.285780  negative_prob: 0.678601  sentiment: 0.000000  
 原文:     “不用客气，外出顺便而已。”中本坐下来。一个服务员走了过来，中本点了一杯咖啡。  positive_prob: 0.361613  confidence: 0.196415  negative_prob: 0.638387  sentiment: 0.000000  
 原文:     “您打高尔夫球吗？”  positive_prob: 0.225590  confidence: 0.498690  negative_prob: 0.774410  sentiment: 0.000000  
 原文:     听草薙这么一问，中本露出一副毫无准备的吃惊表情。  positive_prob: 0.044504  confidence: 0.901103  negative_prob: 0.955497  sentiment: 0.000000  
 原文:     “你是怎么知道的？”  positive_prob: 0.203967  confidence: 0.546740  negative_prob: 0.796033  sentiment: 0.000000  
 原文:     “您的左手告诉我的。您的右手被晒得很黑，左手却几乎没有被晒的痕迹，所以我推测您没少练习。”  positive_prob: 0.079456  confidence: 0.823431  negative_prob: 0.920544  sentiment: 0.000000  
 原文:     “原来如此。我妹妹已经说这只手很难看了。“中本把左手放在桌子底下，露出难为情的关。看得出，他的紧张已经缓解了不少。  positive_prob: 0.163050  confidence: 0.637667  negative_prob: 0.836950  sentiment: 0.000000  
 原文:     “您和家人说过要和我们见面吗？”  positive_prob: 0.329214  confidence: 0.268413  negative_prob: 0.670786  sentiment: 0.000000  
 原文:     “没有。我怕万一告诉他们我以前的同学出了事，要我去见刑警，他们会胡思乱想的。”  positive_prob: 0.303389  confidence: 0.325802  negative_prob: 0.696611  sentiment: 0.000000  
 原文:     “是啊，”草薙点点头，“电话里也和您说过了，我们绝对不会给您添麻烦，我们只想看看我们说的那东西。”  positive_prob: 0.123329  confidence: 0.725935  negative_prob: 0.876671  sentiment: 0.000000  
 原文:     “我明白，已经带来了。”中本把包放在膝盖上，从里面拿出一本毕业纪念册，“请过目，在您提到的那个地方，我夹了便签。”  positive_prob: 0.281119  confidence: 0.375292  negative_prob: 0.718881  sentiment: 0.000000  
 原文:     “多谢了，那就请允许我们看看吧。”草薙把纪念册拿到手里。  positive_prob: 0.205637  confidence: 0.543028  negative_prob: 0.794363  sentiment: 0.000000  
 原文:     这真是一本年代久远的纪念册，外表是花格子的硬质封皮。虽然草薙对别的内容也有些兴趣，不过她还是先打开了夹着黄色便签的那一页。  positive_prob: 0.230290  confidence: 0.488243  negative_prob: 0.769709  sentiment: 0.000000  
 原文:     他不由自主地发出了惊叹声：“好漂亮的画啊！”  positive_prob: 0.329236  confidence: 0.268364  negative_prob: 0.670764  sentiment: 0.000000  
 原文:     “那个家伙很擅长画画。”中本说。  positive_prob: 0.798079  confidence: 0.551286  negative_prob: 0.201921  sentiment: 2.000000  
 原文:     那是用彩色铅笔画的一个娃娃，少女模样，栗色的头发，蓝色的眼睛看起来像是外国娃娃。她穿着一件红色的连衣裙，白色的下摆随风飘舞。鞋也是红色的，袜子是白色的。  positive_prob: 0.926022  confidence: 0.835606  negative_prob: 0.073978  sentiment: 2.000000  
 原文:     娃娃旁边用签名笔写着“上中学后也请多多关照！——坂本信彦”。但最能引起草薙注意的，是画在一角的一把小伞，伞下并排写着“坂本信彦”和“森崎礼美”的名字。  positive_prob: 0.539489  confidence: 0.210229  negative_prob: 0.460511  sentiment: 1.000000  
 原文:     “看来确实有，”草薙把纪念册放到桌子上展开，指着画着伞的部位说，“在这儿。”  positive_prob: 0.177915  confidence: 0.604633  negative_prob: 0.822085  sentiment: 0.000000  
 原文:     “是吧？”中本笑着回应，笑容有些复杂。  positive_prob: 0.397586  confidence: 0.116476  negative_prob: 0.602414  sentiment: 0.000000  
 原文:     “中本先生，您有没有问过他，这个名字的主人是谁？”  positive_prob: 0.336160  confidence: 0.252978  negative_prob: 0.663840  sentiment: 0.000000  
 原文:     “他说是他未来的恋人，不管谁问，他都只会这么回答。周围没有叫这个名字的女孩，甚至‘森崎’这个姓我们都没听说过。因此，我们认为那是他胡乱编出来的名字。”  positive_prob: 0.059083  confidence: 0.868706  negative_prob: 0.940917  sentiment: 0.000000  
 原文:     “您确定这是小学六年级的时候写的吗？”  positive_prob: 0.198765  confidence: 0.558301  negative_prob: 0.801235  sentiment: 0.000000  
 原文:     “是的，这是我毕业之前让班上所有的同学写的。”  positive_prob: 0.580081  confidence: 0.066846  negative_prob: 0.419919  sentiment: 2.000000  
 原文:     “后来这个纪念册被放在了什么地方？”  positive_prob: 0.185224  confidence: 0.588390  negative_prob: 0.814776  sentiment: 0.000000  
 原文:     “一直放在壁橱的纸壳箱里。翻这个的时候，让我有机会顺便把壁橱整理了一下。”  positive_prob: 0.780256  confidence: 0.511680  negative_prob: 0.219744  sentiment: 2.000000  
 原文:     服务员端来了咖啡，中本没加糖，津津有味地啜了一口。  positive_prob: 0.434488  confidence: 0.034470  negative_prob: 0.565512  sentiment: 0.000000  
 原文:     “您是只有那个时候和嫌疑人坂木的关系比较亲密吗？”  positive_prob: 0.140807  confidence: 0.687095  negative_prob: 0.859193  sentiment: 0.000000  
 原文:     “也说不上亲密，只是在小学五年级和六年级时是同班同学。中学一直也没有同班过，高中不在一个学校，中学毕业后就再也没有见过面了。”  positive_prob: 0.221204  confidence: 0.508435  negative_prob: 0.778796  sentiment: 0.000000  
 原文:     “有这两年的记忆就足够了。他那时是一个什么样的孩子？”  positive_prob: 0.641960  confidence: 0.204356  negative_prob: 0.358040  sentiment: 2.000000  
 原文:     “这就记不大清楚了。不过有意思的是，唯独他说过的关于未来恋人的话，我倒是记得很清楚。简单说来，他是个奇怪的人。他不怎么和大家玩，我也没有在学校之外的地方碰到过他。”  positive_prob: 0.278651  confidence: 0.380776  negative_prob: 0.721349  sentiment: 0.000000  
 原文:     “那他是不是受气包或者有自闭倾向？”  positive_prob: 0.177929  confidence: 0.604602  negative_prob: 0.822071  sentiment: 0.000000  
 原文:     “怎么说呢，”中本苦笑着说，“按现在的说法，有可能是吧，不过当时并没有意识到这些。”  positive_prob: 0.135113  confidence: 0.699749  negative_prob: 0.864887  sentiment: 0.000000  
 原文:     中本一直用着不确定的口吻。  positive_prob: 0.658982  confidence: 0.242182  negative_prob: 0.341018  sentiment: 2.000000  
 原文:     草薙看看牧田，用眼神问他有没有问题要问。后辈刑警摇了摇头，用眼神回答道：这种局面还有什么可问的？  positive_prob: 0.038812  confidence: 0.913751  negative_prob: 0.961188  sentiment: 0.000000  
 原文:     “请问，”中本开口了，“我在报纸上看到的事是真的吗——坂木侵入的那户人家姓森崎，那家的女儿叫……”  positive_prob: 0.112885  confidence: 0.749144  negative_prob: 0.887115  sentiment: 0.000000  
 原文:     “请等一下，”草薙伸手打断了中本，“我想，您肯定有很多问题要问，但在真相大白之前，我们不能透漏关于搜查的任何信息，这是规定。”  positive_prob: 0.123530  confidence: 0.725489  negative_prob: 0.876470  sentiment: 0.000000  
 原文:     “啊……是吗？”中本挠挠头。  positive_prob: 0.368289  confidence: 0.181580  negative_prob: 0.631711  sentiment: 0.000000  
 原文:     “这个可以由我们暂时保管吗？”合上纪念册草薙问他。  positive_prob: 0.474673  confidence: 0.493457  negative_prob: 0.525327  sentiment: 1.000000  
 原文:     “噢，当然可以。”  positive_prob: 0.578312  confidence: 0.062915  negative_prob: 0.421688  sentiment: 2.000000  
 原文:     “不好意思，等鉴定结束后马上还您。”  positive_prob: 0.408973  confidence: 0.091172  negative_prob: 0.591027  sentiment: 0.000000  
 原文:     “不用着急，反正也不是什么贵重物品。”中本又啜了一口咖啡。  positive_prob: 0.160848  confidence: 0.642560  negative_prob: 0.839152  sentiment: 0.000000  
 原文:     出了咖啡店，草薙把纪念册递给牧田。  positive_prob: 0.394369  confidence: 0.123624  negative_prob: 0.605631  sentiment: 0.000000  
 原文:     “你拿这个，先回搜查本部。不是有一些从坂本家搜出来的他小时候的记事本和笔记什么的吗，和那些笔迹对照一下。估计这个就算我不说，别人也会教你这么做的。”  positive_prob: 0.148283  confidence: 0.670482  negative_prob: 0.851717  sentiment: 0.000000  
 原文:     “那你要去哪里？”  positive_prob: 0.288499  confidence: 0.358892  negative_prob: 0.711501  sentiment: 0.000000  
 原文:     “我顺便去个地方。”  positive_prob: 0.418080  confidence: 0.070934  negative_prob: 0.581920  sentiment: 0.000000  
 原文:     “顺便去个地方？股长又要发牢骚了。”牧田窃笑着说。  positive_prob: 0.577636  confidence: 0.061413  negative_prob: 0.422364  sentiment: 2.000000  
 原文:     “你就告诉他，我去伽利略那里了，这样他就不会发牢骚了。”  positive_prob: 0.111142  confidence: 0.753017  negative_prob: 0.888858  sentiment: 0.000000  
 原文:     “啊，原来是去汤川老师那里啊。”牧田心领神会地点了点头，“我明白了。”  positive_prob: 0.478753  confidence: 0.575055  negative_prob: 0.521247  sentiment: 1.000000  
 原文:     “又要被他嘲笑是理科白痴了，我都要受不了了。”  positive_prob: 0.122860  confidence: 0.726978  negative_prob: 0.877140  sentiment: 0.000000  
 原文:     “替我对他说，我们都对他充满期待。”  positive_prob: 0.610187  confidence: 0.133749  negative_prob: 0.389813  sentiment: 2.000000  
 原文:     牧田说完朝车站走去。  positive_prob: 0.311752  confidence: 0.307218  negative_prob: 0.688248  sentiment: 0.000000  
 原文:     牧田说完朝车站走去。  positive_prob: 0.311752  confidence: 0.307218  negative_prob: 0.688248  sentiment: 0.000000  
 原文:     3  positive_prob: 0.487468  confidence: 0.749365  negative_prob: 0.512532  sentiment: 1.000000  
 原文:     那是一周前的事了，警视厅接到通知，在世田谷发生一起交通肇事逃逸案件，但是经过详细调查，警察断定这不单单是一起交通事故，犯人在这之前还侵入了离交通事故现场步行几分钟远的一户人家。  positive_prob: 0.447791  confidence: 0.004909  negative_prob: 0.552209  sentiment: 0.000000  
 原文:     那户人家姓森崎，户主是进出口贸易会社社长森崎敏夫，他夫人叫由美子，他惟一的女儿礼美正在上女子高中，一家三口生活在一起。不过事情发生当晚森崎敏夫因公赴新加坡出差了。  positive_prob: 0.849143  confidence: 0.664762  negative_prob: 0.150857  sentiment: 2.000000  
 原文:     根据由美子的证言，深夜两点左右，她听到有动静，醒了过来，她竖起耳朵仔细听，发现有人在阳台上，那个阳台连着二楼的三个居间，在她们夫妇卧室的隔壁，是礼美的房间。  positive_prob: 0.957409  confidence: 0.905353  negative_prob: 0.042591  sentiment: 2.000000  
 原文:     她听到玻璃窗被打开的声音后，马上意识到有人准备进入女儿的房间，于是她没有犹豫，把手伸到了床底下。  positive_prob: 0.244002  confidence: 0.457772  negative_prob: 0.755998  sentiment: 0.000000  
 原文:     床底下藏着一把猎枪。  positive_prob: 0.534698  confidence: 0.306040  negative_prob: 0.465302  sentiment: 1.000000  
 原文:     这枪是森崎敏夫的，他上大学时曾参加过射击队，毕业以后仍然喜欢打猎。  positive_prob: 0.868108  confidence: 0.706907  negative_prob: 0.131892  sentiment: 2.000000  
 原文:     当然，枪并不是一直放在床底下的，这只是由美子在敏失长期出差时的习惯。为了可以在危急关头防身，丈夫教给了她最基本的操作方法。  positive_prob: 0.789598  confidence: 0.532440  negative_prob: 0.210402  sentiment: 2.000000  
 原文:     她端着枪走进了礼美的房间，看到一个男的站在床边，正要对礼美做些什么，她马上叫了起来，那男子听到叫声，慌忙逃了出去，她扣动了扳机，那男子已经跳下了阳台。  positive_prob: 0.825262  confidence: 0.611693  negative_prob: 0.174738  sentiment: 2.000000  
 原文:     那人是开着轻型卡车来的，他在开车逃跑的路上，撞倒了附近的居民。  positive_prob: 0.602104  confidence: 0.115786  negative_prob: 0.397896  sentiment: 2.000000  
 原文:     犯人很快就被逮捕了，是一名住在江东区名叫坂本信彦的27岁的男子，家里是开电工商店的。轻型卡车是家里的经营工具。  positive_prob: 0.824590  confidence: 0.610201  negative_prob: 0.175410  sentiment: 2.000000  
 原文:     这两个多月，坂本一直在纠缠森崎礼美，所以，当警察问礼美有没有线索时，礼美马上就说出了他的名字。坂本的住址也马上查清楚了，他曾经给礼美写过很多封信，上面清楚地写着地址。几乎所有的信件都被礼美扔掉了，幸好她还留着一封，帮了搜查人员的大忙。  positive_prob: 0.950481  confidence: 0.889957  negative_prob: 0.049519  sentiment: 2.000000  
 原文:     搜查人员马上朝坂本家出发。坂本一直龟缩在家中，或许已经听天由命了，当搜查人员审讯他时，他痛痛快快地招认了。  positive_prob: 0.281323  confidence: 0.374839  negative_prob: 0.718677  sentiment: 0.000000  
 原文:     很简单的一个案件——这个时候所有的人都这么想。  positive_prob: 0.481551  confidence: 0.631011  negative_prob: 0.518449  sentiment: 1.000000  
 原文:     和牧田分开30分钟后，草薙开着自己的车，穿过了帝都大学的大门。他把车停在最里面的停车场里，走进了古老的校舍。这是理工学院物理系的校舍，第13研究室在3楼。  positive_prob: 0.595927  confidence: 0.102061  negative_prob: 0.404073  sentiment: 2.000000  
 原文:     上了楼梯，走近房间，他听到了口号声好像是拔河比赛时的“一二、一二”声，而且像是从第13研究室传出来的。  positive_prob: 0.166021  confidence: 0.631064  negative_prob: 0.833979  sentiment: 0.000000  
 原文:     草薙歪着头敲了敲门，里面没有任何反应。或者说，敲门声被里面的声音淹没了他推开门，眼前的景象让他难以置信。桌子和椅子全都堆在墙角，中间是很多学生正在拔河，两边的学生加起来超过了20人。  positive_prob: 0.028888  confidence: 0.935803  negative_prob: 0.971112  sentiment: 0.000000  
 原文:     汤川就在旁边，穿着白大褂坐在椅子上，看着学生们。  positive_prob: 0.383250  confidence: 0.148333  negative_prob: 0.616750  sentiment: 0.000000  
 原文:     在草薙的观看下，右边的队伍赢了。看来所有人都累了，有人弯着腰，不停地喘着粗气。  positive_prob: 0.639116  confidence: 0.198037  negative_prob: 0.360884  sentiment: 2.000000  
 原文:     草薙拍了拍汤川的肩膀。年轻的副教授回过头露出洁白的牙齿：“是你啊。”  positive_prob: 0.591595  confidence: 0.092434  negative_prob: 0.408404  sentiment: 2.000000  
 原文:     “你们在干什么？”  positive_prob: 0.152728  confidence: 0.660605  negative_prob: 0.847272  sentiment: 0.000000  
 原文:     “你不是看到了吗？拔河。”  positive_prob: 0.078210  confidence: 0.826201  negative_prob: 0.921791  sentiment: 0.000000  
 原文:     “这我知道。为什么要拔河？”  positive_prob: 0.194936  confidence: 0.566810  negative_prob: 0.805064  sentiment: 0.000000  
 原文:     “做一个简单的物理实验，名字叫拔河必胜技。”  positive_prob: 0.339812  confidence: 0.244861  negative_prob: 0.660188  sentiment: 0.000000  
 原文:     “啊？”  positive_prob: 0.391731  confidence: 0.129486  negative_prob: 0.608269  sentiment: 0.000000  
 原文:     “好啦，”汤川拍着手站了起来，“有客人来了，我们再来一次，大家拿好绳子。”  positive_prob: 0.631521  confidence: 0.181158  negative_prob: 0.368479  sentiment: 2.000000  
 原文:     啊？还要来一次——学生们嘟囔着拿起了绳子，各自就位。  positive_prob: 0.485218  confidence: 0.704356  negative_prob: 0.514782  sentiment: 1.000000  
 原文:     汤川看着草薙：“你难得来一次，就来做个游戏吧，猜猜哪边能赢。”  positive_prob: 0.401397  confidence: 0.108006  negative_prob: 0.598603  sentiment: 0.000000  
 原文:     “啊，这可很难说啊。”  positive_prob: 0.404281  confidence: 0.101599  negative_prob: 0.595720  sentiment: 0.000000  
 原文:     “凭你的直觉和经验来猜。”  positive_prob: 0.341863  confidence: 0.240304  negative_prob: 0.658137  sentiment: 0.000000  
 原文:     “也好，”草薙对比着两边的队伍，体格看起来都差不多。他想起刚才的比赛结果，指了指右边这一队，“就这边啦。”  positive_prob: 0.703893  confidence: 0.341985  negative_prob: 0.296107  sentiment: 2.000000  
 原文:     “OK，要是这边赢了，我请所有人喝果汁，不然你请另外一边的人喝果汁。”  positive_prob: 0.562943  confidence: 0.028762  negative_prob: 0.437057  sentiment: 2.000000  
 原文:     “好吧。”  positive_prob: 0.528995  confidence: 0.420093  negative_prob: 0.471005  sentiment: 1.000000  
 原文:     “你对他们有什么建议吗？”  positive_prob: 0.137448  confidence: 0.694561  negative_prob: 0.862552  sentiment: 0.000000  
 原文:     “建议？”  positive_prob: 0.285010  confidence: 0.366644  negative_prob: 0.714990  sentiment: 0.000000  
 原文:     “对，比如说，把脚张开，身体向后仰，等等。”  positive_prob: 0.590402  confidence: 0.089783  negative_prob: 0.409598  sentiment: 2.000000  
 原文:     “你说的也是。”草薙看着学生们思考起来，他想起以前参加运动会拔河比赛时指导老师说过的话：“首先最重要的是，要把腰沉下去。”  positive_prob: 0.198454  confidence: 0.558990  negative_prob: 0.801546  sentiment: 0.000000  
 原文:     “哦。还要把腰沉下去啊。”汤川抱着胳膊用佩服似的语气说。  positive_prob: 0.439519  confidence: 0.023291  negative_prob: 0.560481  sentiment: 0.000000  
 原文:     “对，把腰沉下去，叉开双腿，用力站稳，这一点非常关键，挺直了身子是使不上劲的。”  positive_prob: 0.298262  confidence: 0.337196  negative_prob: 0.701738  sentiment: 0.000000  
 原文:     “原来如此。你能不能示范一下，到底腰弯下去多少合适呢？”  positive_prob: 0.476860  confidence: 0.537205  negative_prob: 0.523140  sentiment: 1.000000  
 原文:     “弯下去多少？这个嘛，尽量弯下去就是了。  positive_prob: 0.440694  confidence: 0.020680  negative_prob: 0.559306  sentiment: 0.000000  
 原文:     草薙做出了拔河的姿势，将腰尽可能地向下沉，屁股几乎都挨到了地面。  positive_prob: 0.294421  confidence: 0.345732  negative_prob: 0.705579  sentiment: 0.000000  
 原文:     “各位同学，你们看明白了吗？要按他刚才示范的动作来拔，一定不要无视他的建议。好了，把腰沉下去，拿起绳子。”  positive_prob: 0.038117  confidence: 0.915295  negative_prob: 0.961883  sentiment: 0.000000  
 原文:     听了汤川的吩咐，右边选手们苦笑着按要求去做了，不过看起来总给人一种垂头丧气的感觉。  positive_prob: 0.556002  confidence: 0.013338  negative_prob: 0.443998  sentiment: 2.000000  
 原文:     “对另外一边有建议吗？”汤川问。  positive_prob: 0.219222  confidence: 0.512840  negative_prob: 0.780778  sentiment: 0.000000  
 原文:     “没什么特别的建议，随便怎么来吧。”  positive_prob: 0.125687  confidence: 0.720696  negative_prob: 0.874313  sentiment: 0.000000  
 原文:     “那我就让他们用刚才你说的那些不正确的姿势来拔了。”  positive_prob: 0.369163  confidence: 0.179638  negative_prob: 0.630837  sentiment: 0.000000  
 原文:     汤川让左边队员们将腰稍稍向上抬起。在草薙看来，这种姿势很不稳定。他觉得胜负已经一目了然了。  positive_prob: 0.127587  confidence: 0.716473  negative_prob: 0.872413  sentiment: 0.000000  
 原文:     “好，下面比赛开始，两边都摆好姿势预备……一、二、三，开始！”  positive_prob: 0.585670  confidence: 0.079266  negative_prob: 0.414330  sentiment: 2.000000  
 原文:     在汤川的加油声中，比赛开始了，两边队伍都在拼命地拔着，不过令草薙意外的是，右边的队伍开始被哧哧地拖着向前滑动了。  positive_prob: 0.757370  confidence: 0.460822  negative_prob: 0.242630  sentiment: 2.000000  
 原文:     “把腰沉下去，沉下去！”草薙大声指挥。  positive_prob: 0.137079  confidence: 0.695381  negative_prob: 0.862921  sentiment: 0.000000  
