原文: 第五章  脱离  positive_prob: 0.485962  confidence: 0.719247  negative_prob: 0.514038  sentiment: 1.000000  
 原文:     “真的是21日吗？难道不是22日吗？”弓削又盯着他问了一遍。  positive_prob: 0.038637  confidence: 0.914140  negative_prob: 0.961363  sentiment: 0.000000  
 原文:     “是21日，绝对没错。”粟田看着自己的工作日志说。  positive_prob: 0.619201  confidence: 0.153781  negative_prob: 0.380799  sentiment: 2.000000  
 原文:     “你能给我看一眼这个吗？”  positive_prob: 0.169113  confidence: 0.624194  negative_prob: 0.830887  sentiment: 0.000000  
 原文:     “啊，好！”粟田把日志交给弓削。  positive_prob: 0.792072  confidence: 0.537937  negative_prob: 0.207928  sentiment: 2.000000  
 原文:     草薙在旁边也跟着看，发现虽然在“7月22日”一栏里写着长冢多惠子的名字，但又被改成了21日。当草薙指出这点疑问的时候，粟田并没有表现出特别狼狈的样子。  positive_prob: 0.158157  confidence: 0.648541  negative_prob: 0.841843  sentiment: 0.000000  
 原文:     “开始是打算在22日去的……原来约好是15日的，但是我15日去的时候她不在家，我就把写有我22日再来的名片，扔进了她家的信箱，但是第二天长冢又给我打了电话，说想让我21日去。”  positive_prob: 0.315577  confidence: 0.298719  negative_prob: 0.684423  sentiment: 0.000000  
 原文:     他说的话里没有什么太矛盾之处，不过如果他早料到警察会登门，事先准备了这些合乎逻辑的台词，也绝非难事。  positive_prob: 0.283250  confidence: 0.370555  negative_prob: 0.716750  sentiment: 0.000000  
 原文:     “根据你这个计划表，”弓削问，“你在22日的白天好像没有什么约会啊，那么你在哪儿？”  positive_prob: 0.222868  confidence: 0.504739  negative_prob: 0.777133  sentiment: 0.000000  
 原文:     “22日啊……”粟田用手捂住嘴想了一会儿，“我在狛江。”  positive_prob: 0.336092  confidence: 0.253129  negative_prob: 0.663908  sentiment: 0.000000  
 原文:     “狛江？”  positive_prob: 0.392347  confidence: 0.128117  negative_prob: 0.607653  sentiment: 0.000000  
 原文:     “嗯，那个  ”粟田频繁地搓着脸，“头一天我喝得酩酊大醉，醒来后心情不太好，上午去了客户那里，顺便把车停在了多摩川的附近，休息了一下。”  positive_prob: 0.181737  confidence: 0.596139  negative_prob: 0.818263  sentiment: 0.000000  
 原文:     “什么时候？”弓削问，“在那里从几点待到几点？”  positive_prob: 0.230902  confidence: 0.486884  negative_prob: 0.769098  sentiment: 0.000000  
 原文:     “嗯，大概是过了中午之后，休息了三个小时，这个事你们能替我对我的公司保密吗？”  positive_prob: 0.310757  confidence: 0.309428  negative_prob: 0.689243  sentiment: 0.000000  
 原文:     “嗯，这是当然。”弓削边说边看了眼草薙，表情好像在说这里面有诈。  positive_prob: 0.342185  confidence: 0.239589  negative_prob: 0.657815  sentiment: 0.000000  
 原文:     “车是公司的吗？”草薙问。  positive_prob: 0.218118  confidence: 0.515293  negative_prob: 0.781882  sentiment: 0.000000  
 原文:     “不，是我自己的。”  positive_prob: 0.202273  confidence: 0.550505  negative_prob: 0.797727  sentiment: 0.000000  
 原文:     “能告诉我车的型号和颜色吗？”  positive_prob: 0.163884  confidence: 0.635814  negative_prob: 0.836116  sentiment: 0.000000  
 原文:     “红色的Mini Cooper……”  positive_prob: 0.383580  confidence: 0.147601  negative_prob: 0.616420  sentiment: 0.000000  
 原文:     “哦？那是很漂亮的车型啊！一会儿你能让我们看看吗？”  positive_prob: 0.750961  confidence: 0.446580  negative_prob: 0.249039  sentiment: 2.000000  
 原文:     “当然可以啦……”虽然粟田这么回答，但是他的黑眼珠一直在不安地震颤。  positive_prob: 0.459640  confidence: 0.192808  negative_prob: 0.540360  sentiment: 1.000000  
 原文:     第二天粟田就被通知要他随时等待传唤，因为从附近的居民那里获得了更加重要的证言。  positive_prob: 0.376087  confidence: 0.164252  negative_prob: 0.623913  sentiment: 0.000000  
 原文:     那个居民就住在长冢多惠子家的斜对面，是卖杂样煎菜饼的。平时，这个公寓里的人都把车停在她小店门口的马路上，这让她非常不满。她发现从21日到22日连续两天，都有一辆车停在那儿，她本想等车的主人出来后好好抱怨一通，但因为有时候要招待客人，一不留神车就不见了。  positive_prob: 0.059073  confidence: 0.868727  negative_prob: 0.940927  sentiment: 0.000000  
 原文:     刑警问那是什么样的车，这个年过四十八岁的女人马上十分自信地回答道：“虽然我不知道名字，但它是辆小型车，形状特别像以前的老式车。”  positive_prob: 0.388462  confidence: 0.136752  negative_prob: 0.611538  sentiment: 0.000000  
 原文:     刑警找出各种车的图片，她毫不迟疑地挑出了Mini Cooper车，而且还断言道：是一辆红色的。  positive_prob: 0.538644  confidence: 0.227126  negative_prob: 0.461356  sentiment: 1.000000  
 原文:     刑警们开始对粟田轮番进行轰炸式的审问，所有人都深信，他就是凶手，也相信在多次的审问中，他一定尝露出什么马脚。  positive_prob: 0.686266  confidence: 0.302814  negative_prob: 0.313734  sentiment: 2.000000  
 原文:     但是粟田一直不承认这个罪行，面对刑警们的进攻，他差点都哭出来了。他一直矢口否认，并声称自己向草薙和弓削所提供的自己不在案发现场的证明属实。  positive_prob: 0.113330  confidence: 0.748156  negative_prob: 0.886670  sentiment: 0.000000  
 原文:     没办法，草薙他们只好决定去狛江实地调查一下。如果粟田真的在狛江停车休息过，一定会有目击者的。如果这是真的。那么这个案件就要重新调查了。  positive_prob: 0.189878  confidence: 0.578049  negative_prob: 0.810122  sentiment: 0.000000  
 原文:     “哎，可能这是徒劳。”弓削等人都异口同声地说。  positive_prob: 0.152059  confidence: 0.662091  negative_prob: 0.847941  sentiment: 0.000000  
 原文:     看来这些老刑警们的预言是正确的。  positive_prob: 0.474132  confidence: 0.482648  negative_prob: 0.525868  sentiment: 1.000000  
 原文:     整整两天，在粟田所说的那个停车地点，刑警们来回徘徊，都没有遇到见过红色Mini Cooper车的人。这个地方被一条河夹在中间，除了一家食品加工厂外，到处都是死角。  positive_prob: 0.093201  confidence: 0.792888  negative_prob: 0.906799  sentiment: 0.000000  
 原文:     粟田的确是在撒谎，他就是凶手，这种想法再次在刑警当中蔓延。这时，一封奇怪的信来到了搜查本部的杉并警察署，寄信人是住在狛江的一个男性。  positive_prob: 0.675164  confidence: 0.278142  negative_prob: 0.324836  sentiment: 2.000000  
 原文:     信的内容让人震惊得达到了足以引起整个搜查本部混乱的程度。  positive_prob: 0.111275  confidence: 0.752723  negative_prob: 0.888725  sentiment: 0.000000  
 原文:     3  positive_prob: 0.487468  confidence: 0.749365  negative_prob: 0.512532  sentiment: 1.000000  
 原文:     汤川正在向一个好像是从学生食堂偷出来的塑料托盘里倒洗涤液，然后他把吸管的一端插进去，轻轻一吹，生成一堆半圆形的肥皂泡。  positive_prob: 0.243069  confidence: 0.459846  negative_prob: 0.756931  sentiment: 0.000000  
 原文:     汤川又从白大褂口袋里掏出一个金属制的东西，看起来像是把多个硬币叠起来形成的。  positive_prob: 0.536673  confidence: 0.266540  negative_prob: 0.463327  sentiment: 1.000000  
 原文:     “这是钮磁石。”他把它靠近肥皂泡。  positive_prob: 0.334765  confidence: 0.256077  negative_prob: 0.665235  sentiment: 0.000000  
 原文:     肥皂泡开始在托盘上滑动，向磁石靠近。汤川移动着磁石，肥皂泡在后面也紧跟不放。  positive_prob: 0.176524  confidence: 0.607724  negative_prob: 0.823476  sentiment: 0.000000  
 原文:     “喂！”草薙忍不住出声了，“这是怎么回事啊？它又不是金属，怎么会被磁石吸引呢？”  positive_prob: 0.071786  confidence: 0.840475  negative_prob: 0.928214  sentiment: 0.000000  
 原文:     “你觉得是怎么回事呢？”汤川又把磁石放会口袋里，问草薙.物理学家戏弄这个理科白痴的好朋友。似乎已经成为习惯了。  positive_prob: 0.113592  confidence: 0.747573  negative_prob: 0.886408  sentiment: 0.000000  
 原文:     “可能是你在洗涤剂里做手脚了吧，比如在里面混点金属粉末什么的。”  positive_prob: 0.211552  confidence: 0.529884  negative_prob: 0.788448  sentiment: 0.000000  
 原文:     “要是混了金属粉末，”汤川说，“它就没法形成肥皂泡了。”  positive_prob: 0.112526  confidence: 0.749943  negative_prob: 0.887474  sentiment: 0.000000  
 原文:     “那你一定是掺了别的东西。是不是有可以吸引磁石的化学物品？”  positive_prob: 0.269843  confidence: 0.400348  negative_prob: 0.730157  sentiment: 0.000000  
 原文:     “我什么也没有掺，它就是普通的洗涤剂。”  positive_prob: 0.110710  confidence: 0.753978  negative_prob: 0.889290  sentiment: 0.000000  
 原文:     “普通的洗涤剂能被磁石吸引吗？”  positive_prob: 0.103229  confidence: 0.770602  negative_prob: 0.896771  sentiment: 0.000000  
 原文:     “从理论上来讲，这是不可能的，但是现在的状况不一样了。”汤川边说边走近洗碗池，从上面的厨柜里拿出两个杯子。草薙郁闷地想，又是速溶咖啡。  positive_prob: 0.015614  confidence: 0.965302  negative_prob: 0.984386  sentiment: 0.000000  
 原文:     “到底是怎么回事呢？你就别在这儿装模作样了，告诉我吧。”  positive_prob: 0.164321  confidence: 0.634842  negative_prob: 0.835679  sentiment: 0.000000  
 原文:     “被磁石吸引的，”汤川往杯子里倒入咖啡粉末，回头看了看草薙，“并不是洗涤剂，而是里面的空气。”  positive_prob: 0.212122  confidence: 0.528619  negative_prob: 0.787878  sentiment: 0.000000  
 原文:     “空气？”  positive_prob: 0.333898  confidence: 0.258004  negative_prob: 0.666102  sentiment: 0.000000  
 原文:     “准确地说，是氧。氧具有比较强的顺磁性。所谓的顺磁性，就是能够被磁石所吸引的性质。”  positive_prob: 0.567370  confidence: 0.038600  negative_prob: 0.432630  sentiment: 2.000000  
 原文:     “啊？”草薙盯着托盘上还没有破灭的肥皂泡看个不停。  positive_prob: 0.081903  confidence: 0.817994  negative_prob: 0.918097  sentiment: 0.000000  
 原文:     “人类的惯性思维有时候是很糟糕的。虽然人们知道肥皂泡里面有空气。但因为眼睛看不到，就常常忘记了它的存在，这样一来，我们生命中的很多东西就被忽略了。”汤川把电水壶里的热水倒入杯中，轻轻搅拌了几下，递给草薙.“你其实是想说，我的人生里到处都是被忽略掉的东西吧！”  positive_prob: 0.051754  confidence: 0.884992  negative_prob: 0.948246  sentiment: 0.000000  
